Nome,Citta
La Torre Bagnacavallo,Alfonsine
Benedetti Finanziarie,Torino
Parco del Ticino,Magenta
Teatro Gaetano Bonoris,Montichiari
Centro Sportivo Regionale,Roma
Tealdo Centri Odontoiatrici,Santo Stefano Belbo
Mario Tognocchi & Partners,Prato
Tempor S.P.A.,Ancona
C.L.B.Assicurazioni Snc,Cassino
Il resto del Carlino,Bologna
Fondazione San Carlo Borromeo,Livorno
Industria Servizi s.r.l,Pisa
Studio Tecnico R.B,Magnenta
Casa Di Cura Villa Igea,Ancona
Pisa Road S.P.A,Pisa
Dimensione Nuoto,Luino
Adriatica Generale Servizi ,Milano
Isolafin Sas,Bologna
Olympia Montale s.p.a,Cremona
